# ----------------------------------------
# kizunacare.com
# UTM Report - Non-Event Metrics-Free form 1
# 20250101-20250113
# ----------------------------------------

Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Sessions,Engaged sessions
,,,,,1437,379,Grand total
20250103,m.facebook.com / referral,(referral),(not set),(not set),111,7
20250102,m.facebook.com / referral,(referral),(not set),(not set),92,6
20250104,m.facebook.com / referral,(referral),(not set),(not set),92,5
20250111,(not set),(not set),(not set),(not set),91,45
20250105,m.facebook.com / referral,(referral),(not set),(not set),90,13
20250101,m.facebook.com / referral,(referral),(not set),(not set),89,5
20250103,(direct) / (none),(direct),(not set),(not set),59,4
20250105,l.facebook.com / referral,(referral),(not set),(not set),56,24
20250101,(direct) / (none),(direct),(not set),(not set),54,1
20250102,(direct) / (none),(direct),(not set),(not set),54,3
20250106,m.facebook.com / referral,(referral),(not set),(not set),54,9
20250108,(direct) / (none),(direct),(not set),(not set),51,15
20250109,(direct) / (none),(direct),(not set),(not set),27,8
20250104,(direct) / (none),(direct),(not set),(not set),21,1
20250106,l.facebook.com / referral,(referral),(not set),(not set),19,11
20250110,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,19,2
20250113,(direct) / (none),(direct),(not set),(not set),18,4
20250113,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,16,9
20250106,(direct) / (none),(direct),(not set),(not set),15,4
20250107,(direct) / (none),(direct),(not set),(not set),14,6
20250108,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,12,1
20250108,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,12,3
20250108,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,12,5
20250110,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,12,2
20250105,(direct) / (none),(direct),(not set),(not set),11,4
20250110,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,11,3
20250112,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,11,3
20250107,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,10,6
20250110,(direct) / (none),(direct),(not set),(not set),10,6
20250106,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,9
20250107,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,3
20250109,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,4
20250109,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,9,3
20250112,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,3
20250106,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,8,8
20250107,google / organic,(organic),(not set),(not provided),8,4
20250107,medium.com / referral,(referral),(not set),(not set),8,7
20250109,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,8,3
20250110,google / organic,(organic),(not set),(not provided),8,5
20250106,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,7,6
20250106,google / organic,(organic),(not set),(not provided),7,5
20250106,medium.com / referral,(referral),(not set),(not set),7,4
