# ----------------------------------------
# kizunacare.com
# Search Data - Non-Event Metrics-Free form 1
# 20250101-20250113
# ----------------------------------------

Date,Session Google Ads account name,Session Google Ads campaign,Session Google Ads ad group name,Sessions,Engaged sessions
,,,,546,349,Grand total
20250102,Kizuna,TS / Search / San Francisco,Old Keywords,27,20
20250103,Kizuna,TS / Search / San Francisco,In-Home Care Services,27,16
20250106,Kizuna,TS / Search / San Francisco,Old Keywords,26,17
20250102,Kizuna,TS / Search / San Francisco,In-Home Care Services,24,16
20250105,Kizuna,TS / Search / San Francisco,Senior Care Services,20,12
20250104,Kizuna,TS / Search / San Francisco,Senior Care Services,19,12
20250105,Kizuna,TS / Search / San Francisco,In-Home Care Services,19,11
20250104,Kizuna,TS / Search / San Francisco,Old Keywords,18,10
20250107,Kizuna,TS / Search / San Francisco,Old Keywords,18,11
20250110,Kizuna,TS / Search / San Francisco,In-Home Care Services,17,12
20250102,Kizuna,TS / Search / San Francisco,Senior Care Services,16,7
20250103,Kizuna,TS / Search / San Francisco,Old Keywords,16,13
20250104,Kizuna,TS / Search / San Francisco,In-Home Care Services,16,8
20250105,Kizuna,TS / Search / San Francisco,Old Keywords,15,12
20250112,Kizuna,TS / Search / San Francisco,Old Keywords,15,11
20250106,Kizuna,TS / Search / San Francisco,In-Home Care Services,14,10
20250106,Kizuna,TS / Search / San Francisco,Senior Care Services,14,5
20250107,Kizuna,TS / Search / San Francisco,In-Home Care Services,13,11
20250103,Kizuna,TS / Search / San Francisco,Senior Care Services,12,4
20250110,Kizuna,TS / Search / San Francisco,Old Keywords,12,8
20250104,Kizuna,TS / Search / San Francisco,Companion Care Services,11,7
20250112,Kizuna,TS / Search / San Francisco,In-Home Care Services,11,8
20250107,Kizuna,TS / Search / San Francisco,Senior Care Services,10,5
20250113,Kizuna,TS / Search / San Francisco,In-Home Care Services,10,8
20250101,Kizuna,TS / Search / San Francisco,Old Keywords,9,6
20250108,Kizuna,TS / Search / San Francisco,In-Home Care Services,9,7
20250113,Kizuna,TS / Search / San Francisco,Old Keywords,9,5
20250105,Kizuna,TS / Search / San Francisco,Companion Care Services,8,6
20250108,Kizuna,TS / Search / San Francisco,Old Keywords,6,2
20250109,Kizuna,TS / Search / San Francisco,In-Home Care Services,6,4
20250109,Kizuna,TS / Search / San Francisco,Old Keywords,6,4
20250110,Kizuna,TS / Search / San Francisco,Senior Care Services,6,3
20250103,Kizuna,TS / Search / San Francisco,Companion Care Services,5,5
20250105,Kizuna,TS / Search / San Francisco,Personal Care Services,5,3
20250106,Kizuna,TS / Search / San Francisco,Personal Care Services,5,4
20250108,Kizuna,TS / Search / San Francisco,Companion Care Services,5,3
20250111,Kizuna,TS / Search / San Francisco,Old Keywords,5,4
20250101,Kizuna,TS / Search / San Francisco,In-Home Care Services,4,3
20250101,Kizuna,TS / Search / San Francisco,Senior Care Services,4,2
20250102,Kizuna,TS / Search / San Francisco,Companion Care Services,4,3
20250102,Kizuna,TS / Search / San Francisco,Personal Care Services,4,2
20250110,Kizuna,TS / Search / San Francisco,Companion Care Services,4,2
20250101,Kizuna,TS / Search / San Francisco,Companion Care Services,3,1
20250104,Kizuna,TS / Search / San Francisco,Personal Care Services,3,3
20250107,Kizuna,TS / Search / San Francisco,Companion Care Services,3,1
20250108,Kizuna,TS / Search / San Francisco,Senior Care Services,3,1
20250103,Kizuna,TS / Search / San Francisco,Respite Care Services,2,2
20250106,Kizuna,TS / Search / San Francisco,Respite Care Services,2,0
20250107,Kizuna,TS / Search / San Francisco,Personal Care Services,2,0
20250109,Kizuna,TS / Search / San Francisco,Companion Care Services,2,2
20250111,Kizuna,TS / Search / San Francisco,In-Home Care Services,2,1
20250112,Kizuna,TS / Search / San Francisco,Respite Care Services,2,2
20250101,Kizuna,TS / Search / San Francisco,Brand,1,1
20250101,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250102,Kizuna,TS / Search / San Francisco,Brand,1,1
20250102,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250103,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250104,Kizuna,TS / Search / San Francisco,Brand,1,1
20250106,Kizuna,TS / Search / San Francisco,Brand,1,1
20250106,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250108,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250110,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250110,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250111,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250111,Kizuna,TS / Search / San Francisco,Senior Care Services,1,1
20250112,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250112,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250112,Kizuna,TS / Search / San Francisco,Senior Care Services,1,1
20250113,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250113,Kizuna,TS / Search / San Francisco,Senior Care Services,1,0

