# ----------------------------------------
# kizunacare.com
# Search Data - Non-Event Metrics-Free form 1
# 20250101-20250209
# ----------------------------------------

Date,Session Google Ads account name,Session Google Ads campaign,Session Google Ads ad group name,Sessions,Engaged sessions
,,,,1386,923,Grand total
20250119,Kizuna,TS / Search / San Francisco,Old Keywords,32,18
20250207,Kizuna,TS / Search / San Francisco,In-Home Care Services,28,19
20250102,Kizuna,TS / Search / San Francisco,Old Keywords,27,20
20250103,Kizuna,TS / Search / San Francisco,In-Home Care Services,27,16
20250106,Kizuna,TS / Search / San Francisco,Old Keywords,26,17
20250116,Kizuna,TS / Search / San Francisco,Old Keywords,25,18
20250102,Kizuna,TS / Search / San Francisco,In-Home Care Services,24,16
20250117,Kizuna,TS / Search / San Francisco,In-Home Care Services,24,16
20250206,Kizuna,TS / Search / San Francisco,In-Home Care Services,24,18
20250119,Kizuna,TS / Search / San Francisco,In-Home Care Services,22,15
20250126,Kizuna,TS / Search / San Francisco,Old Keywords,22,16
20250204,Kizuna,TS / Search / San Francisco,In-Home Care Services,22,12
20250127,Kizuna,TS / Search / San Francisco,Old Keywords,21,12
20250105,Kizuna,TS / Search / San Francisco,Senior Care Services,20,12
20250117,Kizuna,TS / Search / San Francisco,Old Keywords,20,15
20250104,Kizuna,TS / Search / San Francisco,Senior Care Services,19,12
20250105,Kizuna,TS / Search / San Francisco,In-Home Care Services,19,11
20250128,Kizuna,TS / Search / San Francisco,Old Keywords,19,14
20250104,Kizuna,TS / Search / San Francisco,Old Keywords,18,10
20250107,Kizuna,TS / Search / San Francisco,Old Keywords,18,11
20250115,Kizuna,TS / Search / San Francisco,Old Keywords,18,14
20250116,Kizuna,TS / Search / San Francisco,In-Home Care Services,18,16
20250125,Kizuna,TS / Search / San Francisco,Old Keywords,18,9
20250129,Kizuna,TS / Search / San Francisco,In-Home Care Services,18,12
20250110,Kizuna,TS / Search / San Francisco,In-Home Care Services,17,12
20250202,Kizuna,TS / Search / San Francisco,In-Home Care Services,17,13
20250203,Kizuna,TS / Search / San Francisco,In-Home Care Services,17,13
20250205,Kizuna,TS / Search / San Francisco,In-Home Care Services,17,14
20250102,Kizuna,TS / Search / San Francisco,Senior Care Services,16,7
