Day,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Link clicks,Family Form Submission
2025-02-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,7.88,452,1,
2025-02-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,12.41,303,4,
2025-02-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,4.77,61,4,
2025-02-09,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,11.97,209,4,
2025-02-09,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,1.43,27,1,
2025-02-09,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,9.57,205,2,
2025-02-08,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,1.65,31,,
2025-02-08,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,9.87,187,2,
2025-02-08,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,6.88,121,3,
2025-02-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,3.39,58,,
2025-02-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,8.74,186,1,
2025-02-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,6.29,314,,
2025-02-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,5.73,616,1,
2025-02-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,10.59,208,4,
2025-02-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,4.07,55,,
2025-02-07,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,5.73,107,2,
2025-02-07,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,6.72,111,2,
2025-02-07,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,7.91,187,4,
2025-02-06,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,6.79,103,2,
2025-02-06,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Carousel_Compare,7.11,194,5,
2025-02-06,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,3.72,84,2,
2025-02-06,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Carousel_Compare,8.46,809,3,
2025-02-06,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Embrace,1.03,65,1,
2025-02-06,2025_SF_Leads_Families,2025_SF_Leads_Families_IGReels_OGInterest,2025_SF_Leads_Families_IGReels_OGInterest_Static_Built,8.74,241,,
2025-02-05,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Built,5.65,133,,
2025-02-05,2025_SF_Leads_Families,2025_SF_Leads_Families_MetaFeed_OGInterest,2025_SF_Leads_Families_MetaFeed_OGInterest_Static_Embrace,4.48,63,,
